id;actual;declared;union;intersection;undeclared;unused
eadndfjplgieldjbigjakmdgkmoaaaoc.crx;0;2;2;0;0;2
eakacpaijcpapndcfffdgphdiccmpknp.crx;2;7;7;2;0;5
ebfkjhegjojpombijlnbkmjoabfgohkb.crx;0;6;6;0;0;6
ecgnghllmfapcigcdhadaackfjjhhifl.crx;5;12;13;4;1;8
ecmfchgfmbbddembehpkopmhjiepcckd.crx;5;10;10;5;0;5
ecnphlgnajanjnkcmbpancdjoidceilk.crx;4;12;12;4;0;8
ecpnacfdmkfdabpdpbnnacjfdfcldklf.crx;2;4;4;2;0;2
edacconmaakjimmfgnblocblbcdcpbko.crx;2;5;5;2;0;3
edlnojcclfhfnjegbdkcdigjnlmjkfnn.crx;0;3;3;0;0;3
ednpgmdbndmakimfpmcfgdlmhmhceehm.crx;4;7;7;4;0;3
edoadhjjfgeniilpmnoaddaihjkkhheb.crx;2;4;4;2;0;2
eeajicmampllnpkmfimkhefbndkfeloo.crx;1;7;7;1;0;6
eebnbmbhdfnfhfhigoklhaklkodghbla.crx;3;4;4;3;0;1
eecoahjklhopckkiefihjloeidikepdh.crx;0;1;1;0;0;1
eedlgdlajadkbbjoobobefphmfkcchfk.crx;0;6;6;0;0;6
eekailopagacbcdloonjhbiecobagjci.crx;2;4;4;2;0;2
eekbbmglbfldjpgbmajenafphnfjonnc.crx;1;1;1;1;0;0
eenflijjbchafephdplkdmeenekabdfb.crx;3;5;5;3;0;2
eeocglpgjdpaefaedpblffpeebgmgddk.crx;1;5;5;1;0;4
eeocknbjpmfgaclencnfjfkklmmfmiie.crx;3;9;9;3;0;6
eeojlpepoljdpaoiplnlhcfkoigijimc.crx;5;12;13;4;1;8
efaidnbmnnnibpcajpcglclefindmkaj.crx;3;5;6;2;1;3
efdhoaajjjgckpbkoglidkeendpkolai.crx;2;4;4;2;0;2
egfgboclmgbokjeenpnghneoaogefnjn.crx;0;0;0;0;0;0
eggkanocgddhmamlbiijnphhppkpkmkl.crx;2;7;7;2;0;5
egncdnniomonjgpjbapalkckojhkfddk.crx;2;4;4;2;0;2
ehajnnplicdlmalblkgpkhhbogkbmiee.crx;3;5;5;3;0;2
ehhkfhegcenpfoanmgfpfhnmdmflkbgk.crx;9;16;17;8;1;8
eiadekoaikejlgdbkbdfeijglgfdalml.crx;2;2;2;2;0;0
eignhdfgaldabilaaegmdfbajngjmoke.crx;0;8;8;0;0;8
eimadpbcbfnmbkopoojfekhnkhdbieeh.crx;0;4;4;0;0;4
ejbjamhkdedinncaeiackcdehpccoejm.crx;2;11;11;2;0;9
ejkiikneibegknkgimmihdpcbcedgmpo.crx;1;3;3;1;0;2
ekhagklcjbdpajgpjgmbionohlpdbjgc.crx;0;7;7;0;0;7
ekjblaihiicbgjibfipjoepkmondnnbd.crx;0;7;7;0;0;7
elgalmkoelokbchhkhacckoklkejnhcd.crx;1;1;1;1;0;0
elicpjhcidhpjomhibiffojpinpmmpil.crx;1;6;6;1;0;5
elioihkkcdgakfbahdoddophfngopipi.crx;1;5;5;1;0;4
eljapbgkmlngdpckoiiibecpemleclhh.crx;2;5;5;2;0;3
elmbellnejnajbokkjokedldcgnmiean.crx;1;3;3;1;0;2
elmekokodcohlommfikpmojheggnbelo.crx;1;4;4;1;0;3
emakkfldeggiinnfcdjkakdfcppbfhdg.crx;3;3;3;3;0;0
emalgedpdlghbkikiaeocoblajamonoh.crx;0;5;5;0;0;5
emeokgokialpjadjaoeiplmnkjoaegng.crx;0;3;3;0;0;3
emffkefkbkpkgpdeeooapgaicgmcbolj.crx;2;9;9;2;0;7
emidddocikgklceeeifefomdnbkldhng.crx;0;0;0;0;0;0
emikbbbebcdfohonlaifafnoanocnebl.crx;1;7;7;1;0;6
emngkmlligggbbiioginlkphcmffbncb.crx;5;11;12;4;1;7
emnphkkblegpebimobpbekeedfgemhof.crx;1;5;5;1;0;4
enakmcmeealkdoeindgoeogldodhdeda.crx;0;6;6;0;0;6
encaiiljifbdbjlphpgpiimidegddhic.crx;0;2;2;0;0;2
